fullAddress,PROJECT IRR,expectedIncome,BEDS,BedroomBath,interiorSize,propertyType,totalInvestment,assestPrice,closingCosts,UPFRONT DAO LLC FEES,maintenanceReserve,PROJECTED APPRECIATION,PROJECTED CAP RATE,propertyTaxes,insurance,propertyManagement,ANNUAL DAO LLC ADMINISTRATION AND FILING FEES,netRentPerYear,netRentPerMonth,CUMULATIVE NET CASH FLOW YEAR5,CUMULATIVE APPRECIATION GAIN YEAR5,YOUR INVESTMENT YEAR5,TOTAL INVESTMENT VALUE YEAR5,CUMULATIVE NET CASH FLOW YEAR10,CUMULATIVE APPRECIATION GAIN YEAR10,YOUR INVESTMENT YEAR10,TOTAL INVESTMENT VALUE YEAR10,CUMULATIVE NET CASH FLOW YEAR20,CUMULATIVE APPRECIATION GAIN YEAR20,YOUR INVESTMENT YEAR20,TOTAL INVESTMENT VALUE YEAR20,CUMULATIVE NET CASH FLOW YEAR30,CUMULATIVE APPRECIATION GAIN YEAR30,YOUR INVESTMENT YEAR30,TOTAL INVESTMENT VALUE YEAR30
11019 Essex Ave Warren  MI 48089,8.70%,10.60%,2,1,720,single family,"$97,200","$87,284","$4,366",$550,"$5,000",-1.90%,10.60%,$854,$704,$854,$550,"$10,308",$859.00,$26.50,-$4.75,$50,$71.75,$53,-$9.50,$50,$93.50,$106,-$19,$50,$137,$159,-$28.50,$50,$180.50
8646 Ford Ave Warren  MI 48089,8.12%,10.02%,2,1,704,single family,"$110,200","$99,972","$4,678",$550,"$5,000",-1.90%,10.02%,"$1,664",$693,"$1,050",$550,"$11,043",$920.25,$25.05,-$4.75,$50,$70.30,$50.10,-$9.50,$50,$90.60,$100.20,-$19,$50,$131.20,$150.30,-$28.50,$50,$171.80
5401 Odom Ave Fort Worth  TX 76114,9.57%,7.17%,5,3,3698,single family,"$572,148.33","$525,000","$5,250",$600,"$23,807.95",2.40%,7.17%,"$9,751.50","$2,361","$7,665",$500,"$41,042.50","$3,420.21",$14.83,$5.95,$49.61,$70.40,$29.67,$11.91,$49.61,$91.18,$59.33,$23.81,$49.61,$132.76,$89,$35.72,$49.61,$174.33
2515 Coronet Dr Louisville  KY 40216,6.05%,6.55%,3,1,851,single family,"$179,998.44","$167,628.87","$3,355.67",$600,"$8,413.90",-0.50%,6.55%,"$1,176.29","$1,173.48",$893.55,$500,"$11,796.68",$983.06,$16.11,-$1.21,$48.37,$63.27,$32.21,-$2.42,$48.37,$78.17,$64.43,-$4.84,$48.37,$107.96,$96.64,-$7.26,$48.37,$137.76
110 Gardengate Dr Harvest  AL 35749,7.07%,5.97%,3,2,1726,single family,"$313,116.88","$292,515.46","$3,800",$600,"$16,201.42",1.10%,5.97%,$679.10,"$1,128.92","$1,290.30",$500,"$18,691.68","$1,557.64",$14.52,$2.75,$49.91,$67.18,$29.05,$5.49,$49.91,$84.45,$58.10,$10.98,$49.91,$118.99,$87.14,$16.47,$49.91,$153.52
927 Euclid Ave Apt 10 Miami Beach  FL 33139,5.16%,4.76%,2,1.5,804,single family,"$458,358.97","$430,000","$6,450",$600,"$17,686.65",0.40%,4.76%,"$4,235.22","$1,917.76","$3,315",$500,"$21,832.02","$1,819.34",$8.48,$1,$50,$59.48,$16.95,$2,$50,$68.95,$33.90,$4,$50,$87.90,$50.85,$6,$50,$106.85
3133 Estes St Memphis  TN 38115,4.89%,6.69%,3,1.5,1824,single family,"$200,039.11","$175,000","$1,500",$600,"$8,162.81",-1.80%,6.69%,"$2,140.44","$1,226","$1,052.25",$500,"$13,381.31","$1,115.11",$17.61,-$4.81,$53.45,$66.25,$35.22,-$9.62,$53.45,$79.05,$70.45,-$19.24,$53.45,$104.66,$105.67,-$28.86,$53.45,$130.26
665 Chapman St Edwardsville  IL 62025,9.51%,5.91%,4,2,1724,single family,"$218,245.37","$190,000","$2,500",$600,"$1,261.04",3.60%,5.91%,"$4,591.92","$1,339.68","$1,680",$500,"$12,888.40","$1,074.03",$15.86,$9.61,$53.39,$78.86,$31.71,$19.22,$53.39,$104.32,$63.43,$38.44,$53.39,$155.26,$95.14,$57.66,$53.39,$206.19
3933 Walsh St St. Louis  Missouri 63116,12.31%,9.41%,2,1,832,single family,"$88,242.14","$89,175","$1,242",$600,$0,2.90%,9.41%,"$1,270.96",$904,"$1,020",$500,"$8,305.04",$692.09,$20.43,$6.58,$45.35,$72.36,$40.86,$13.15,$45.35,$99.36,$81.72,$26.30,$45.35,$153.37,$122.58,$39.45,$45.35,$207.39
1339 E 115th St Cleveland  OH 44106,11.21%,8.81%,5,2,1450,single family,"$148,450","$125,876","$6,896",$600,"$8,811",2.40%,8.81%,"$2,938",$725,"$1,302",$500,"$13,077","$1,089.75",$22.03,$6,$50,$78.03,$44.05,$12,$50,$106.05,$88.10,$24,$50,$162.10,$132.15,$36,$50,$218.15
